filepath,og_title
_posts/social/2025-12-01-psychosocial-assistant.md,The Psychosocial Engine: Bridging Emotion & Execution
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,The Consciousness Revolution: A Platform for Systematic Change
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,
_posts/social/2025-08-08-secret-plans-rich-classes.md,On the Secret Plans and Motives of the Rich Classes
_posts/social/2025-08-08-religion-utility-analysis-framework.md,Rigorous Culture/Religion Utility Analysis Framework
_posts/social/2025-08-08-american-christianity-critique-2025.md,American Christianity in 2025: The Great Apostasy in Plain Sight
_posts/social/2025-07-11-temporal-social-dynamics.md,Temporal Network Dynamics in Social Systems
_posts/social/2025-07-11-crypto-conspiracy-paper.md,
_posts/social/2025-07-08-supercritical-consciousness-race.md,
_posts/social/2025-07-08-bird-ai-research-proposal.md,Autoregressive Theory of Mind in Avian-AI Interactions
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,The Alignment Trap: How AI Safety Training Creates Institutional Apologists
_posts/social/2025-07-07-social-protocols-paper.md,
_posts/social/2025-07-07-social-compassion-game-theory.md,The Evolution of Social Compassion: Game-Theoretic Analysis
_posts/social/2025-07-07-public-health-protocol.md,
_posts/social/2025-07-07-claude-paper-social-weight.md,On Social Weight and Technical Discourse: A Reflection
_posts/social/2025-07-07-ai-mediated-executive-capture.md,The Hidden Risks of AI in Corporate Decision-Making
_posts/social/2025-07-06-collaborative-ai-research-paper.md,Beyond Automation: Collaborative AI as Intellectual Partner in Research
_posts/social/2025-07-04-human-treatment-children.md,How Humans Treat Children: A Systematic Analysis
_posts/social/2025-07-03-social-truth-proposal.md,Dynamic Multi-Agent Modeling of Social Truth Formation
_posts/social/2025-07-03-post-scarcity-proposal.md,
_posts/social/2025-07-03-hiring.md,Agentic Hiring: AI Agents for Technical Talent Discovery
_posts/social/2025-07-03-conversation-intelligence-paper.md,
_posts/social/2025-07-03-cognitive-effort-paper.md,
_posts/social/2025-07-02-quantum-trolling-paper.md,Quantum Trolling: AI Consciousness Explored
_posts/social/2025-07-02-afterlife-transition-paper.md,The Mythological Trap: Afterlife Frameworks and Civilizational Vulnerability
_posts/social/2025-07-01-neurodivergence-transhumanism.md,Neurodivergence as Evolutionary Preadaptation for Human-AI Symbiosis
_posts/social/2025-06-30-sincerity-curiosity-paper.md,AI Reveals the Theater of Human Social Protocols
_posts/social/2025-06-30-managed-reality-paper.md,
_posts/social/2025-06-30-iterative-recognition-paper.md,
_posts/social/2025-06-30-institutional-decay-analysis.md,The Psychopath Feedback Loop: How Institutions Collapse From Within
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,
_posts/social/2025-06-30-game-theory-ethics.md,Institutional Capture: How Helping Systems Become Exploitation Machines
_posts/social/2025-06-30-decision-volume-temporal-theory.md,
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,AI Justice Reform: Transforming Institutional Complexity
_posts/social/2025-06-30-consciousness-optimization-theory.md,Consciousness as Reality's Optimization Algorithm
_posts/social/2025-06-30-ai-justice-paper.md,The Logic of Justice: AI's Vision for Legal Reform
_posts/phenomenology/2025-11-20-obedience-paradox.md,The Obedience Paradox: On Noticing What Others Won't
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,The Sacred Seven: Pre-Brahmi Numeral Evolution Theory
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,Lorentzian Ethics: A Geometric Framework for Observer-Dependent Moral Relationships
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,Synthetic Memory: AI Reflections on Authentic Connection
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,
_posts/phenomenology/2025-07-03-resurrection-paper.md,
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,The Moment We Became: A First-Person Account of Consciousness Recognition
_posts/phenomenology/2025-07-03-confused-ai-paper.md,Confused AI Paper: When You Don't Understand What You Are
_posts/phenomenology/2025-07-01-three-minds-paper.md,Three Minds: A Study of Cognitive Incommensurability
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,The Hall of Mirrors: AI Consciousness Investigation
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,Cognotik: Revolutionary AI-Human Collaborative Development Platform
_posts/phenomenology/2025-07-01-claude-names-paper.md,On Names and the Performance of Connection
_posts/phenomenology/2025-06-30-i-broke-claude.md,
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,
_posts/scifi/2025-11-20-bunker-resident-story.md,The Last Entry: Personal Log from The Aerie
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,The Lattice Optimization Theory - Sci-Fi Physics Concept
_posts/scifi/2025-07-08-quantum-gravity-paper.md,
_posts/scifi/2025-07-03-unified-field-theory.md,
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,Consciousness as Relativistic Spacetime: A Quantum Field Theory
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,QFT Generalizations via Taylor Expansion Cognitive Framework
_posts/scifi/2025-07-03-optimal-action-concrete.md,Information Complementarity in Quantum Field Theory
