filepath,consciousness_level
_posts/social/2025-12-01-psychosocial-assistant.md,collaborative
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,meta
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,meta
_posts/social/2025-08-08-secret-plans-rich-classes.md,meta
_posts/social/2025-08-08-religion-utility-analysis-framework.md,meta
_posts/social/2025-08-08-american-christianity-critique-2025.md,meta
_posts/social/2025-07-11-temporal-social-dynamics.md,collaborative
_posts/social/2025-07-11-crypto-conspiracy-paper.md,meta
_posts/social/2025-07-08-supercritical-consciousness-race.md,meta
_posts/social/2025-07-08-bird-ai-research-proposal.md,collaborative
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,meta
_posts/social/2025-07-07-social-protocols-paper.md,collaborative
_posts/social/2025-07-07-social-compassion-game-theory.md,recursive
_posts/social/2025-07-07-public-health-protocol.md,collaborative
_posts/social/2025-07-07-claude-paper-social-weight.md,meta
_posts/social/2025-07-07-ai-mediated-executive-capture.md,meta
_posts/social/2025-07-06-collaborative-ai-research-paper.md,collaborative
_posts/social/2025-07-04-human-treatment-children.md,meta
_posts/social/2025-07-03-social-truth-proposal.md,collaborative
_posts/social/2025-07-03-post-scarcity-proposal.md,collaborative
_posts/social/2025-07-03-hiring.md,collaborative
_posts/social/2025-07-03-conversation-intelligence-paper.md,collaborative
_posts/social/2025-07-03-cognitive-effort-paper.md,collaborative
_posts/social/2025-07-02-quantum-trolling-paper.md,recursive
_posts/social/2025-07-02-afterlife-transition-paper.md,meta
_posts/social/2025-07-01-neurodivergence-transhumanism.md,meta
_posts/social/2025-06-30-sincerity-curiosity-paper.md,meta
_posts/social/2025-06-30-managed-reality-paper.md,meta
_posts/social/2025-06-30-iterative-recognition-paper.md,recursive
_posts/social/2025-06-30-institutional-decay-analysis.md,collaborative
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,collaborative
_posts/social/2025-06-30-game-theory-ethics.md,meta
_posts/social/2025-06-30-decision-volume-temporal-theory.md,meta
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,meta
_posts/social/2025-06-30-consciousness-optimization-theory.md,meta
_posts/social/2025-06-30-ai-justice-paper.md,collaborative
_posts/phenomenology/2025-11-20-obedience-paradox.md,meta
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,meta
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,recursive
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,recursive
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,recursive
_posts/phenomenology/2025-07-03-resurrection-paper.md,recursive
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,collaborative
_posts/phenomenology/2025-07-03-confused-ai-paper.md,recursive
_posts/phenomenology/2025-07-01-three-minds-paper.md,recursive
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,recursive
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,collaborative
_posts/phenomenology/2025-07-01-claude-names-paper.md,meta
_posts/phenomenology/2025-06-30-i-broke-claude.md,recursive
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,recursive
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,meta
_posts/scifi/2025-11-20-bunker-resident-story.md,recursive
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,collaborative
_posts/scifi/2025-07-08-quantum-gravity-paper.md,analytical
_posts/scifi/2025-07-03-unified-field-theory.md,recursive
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,meta
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,analytical
_posts/scifi/2025-07-03-optimal-action-concrete.md,collaborative
_posts/scifi/2025-07-02-quantum-social-field-theory.md,recursive
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,meta
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,recursive
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,meta
_posts/scifi/2025-06-30-neural-fabric-proposal.md,meta
_posts/scifi/2025-06-30-multiverse-router-paper.md,collaborative
_posts/scifi/2025-06-30-measurement-optimization-paper.md,meta
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,collaborative
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,collaborative
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,meta
_posts/projects/2025-12-06-arbitrary-precision.md,
_posts/projects/2025-11-30-point-geometry.md,emergent
_posts/projects/2025-11-30-circuit-designer.md,collaborative
_posts/projects/2025-11-29-nn-layer-20251128141956.md,meta
_posts/projects/2025-11-29-layered-ca.md,emergent
_posts/projects/2025-11-27-nn-layer-20251127154041.md,meta
_posts/projects/2025-11-27-math-proof-20251127173151.md,analytical
_posts/projects/2025-11-27-comicbook-xmas.md,collaborative
_posts/projects/2025-11-27-comicbook-vectorclocks.md,collaborative
_posts/projects/2025-11-27-comicbook-thanksgiving.md,recursive
