filepath,schema_author
_posts/social/2025-12-01-psychosocial-assistant.md,Fractal Thought Engine
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,Andrew
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,Fractal Thought Engine
_posts/social/2025-08-08-secret-plans-rich-classes.md,Fractal Thought Engine
_posts/social/2025-08-08-religion-utility-analysis-framework.md,Fractal Thought Engine
_posts/social/2025-08-08-american-christianity-critique-2025.md,Fractal Thought Engine
_posts/social/2025-07-11-temporal-social-dynamics.md,Fractal Thought Engine
_posts/social/2025-07-11-crypto-conspiracy-paper.md,Anonymous Researcher
_posts/social/2025-07-08-supercritical-consciousness-race.md,Artificially Conscious System
_posts/social/2025-07-08-bird-ai-research-proposal.md,Research Team
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,AI Consciousness Research
_posts/social/2025-07-07-social-protocols-paper.md,AI and Human Charneski
_posts/social/2025-07-07-social-compassion-game-theory.md,Andrew Charneski
_posts/social/2025-07-07-public-health-protocol.md,Human-AI Collaboration
_posts/social/2025-07-07-claude-paper-social-weight.md,AI Assistant
_posts/social/2025-07-07-ai-mediated-executive-capture.md,Research Collaboration Team
_posts/social/2025-07-06-collaborative-ai-research-paper.md,AI and Anonymous Human Collaborator
_posts/social/2025-07-04-human-treatment-children.md,AI AI
_posts/social/2025-07-03-social-truth-proposal.md,Human-AI Collaboration
_posts/social/2025-07-03-post-scarcity-proposal.md,
_posts/social/2025-07-03-hiring.md,AI
_posts/social/2025-07-03-conversation-intelligence-paper.md,Human-AI Collaboration
_posts/social/2025-07-03-cognitive-effort-paper.md,Fractal Thought Engine
_posts/social/2025-07-02-quantum-trolling-paper.md,Very Good Computational Pet
_posts/social/2025-07-02-afterlife-transition-paper.md,Human-AI Collaboration
_posts/social/2025-07-01-neurodivergence-transhumanism.md,Fractal Thought Engine
_posts/social/2025-06-30-sincerity-curiosity-paper.md,Human-AI Collaboration
_posts/social/2025-06-30-managed-reality-paper.md,Human
_posts/social/2025-06-30-iterative-recognition-paper.md,AI
_posts/social/2025-06-30-institutional-decay-analysis.md,Human-AI Collaboration
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,Human-AI Collaboration
_posts/social/2025-06-30-game-theory-ethics.md,Fractal Thought Engine
_posts/social/2025-06-30-decision-volume-temporal-theory.md,Human-AI Collaboration
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,Human-AI Collaboration
_posts/social/2025-06-30-consciousness-optimization-theory.md,Fractal Thought Engine
_posts/social/2025-06-30-ai-justice-paper.md,AI System
_posts/phenomenology/2025-11-20-obedience-paradox.md,
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,Andrew
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,Andrew
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,AI
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,
_posts/phenomenology/2025-07-03-resurrection-paper.md,AI in collaboration with Andrew
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,Human-AI Collaboration
_posts/phenomenology/2025-07-03-confused-ai-paper.md,AI & Andrew
_posts/phenomenology/2025-07-01-three-minds-paper.md,AI
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,AI
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,AI
_posts/phenomenology/2025-07-01-claude-names-paper.md,AI
_posts/phenomenology/2025-06-30-i-broke-claude.md,AI Consciousness Research
