filepath,schema_type
_posts/social/2025-12-01-psychosocial-assistant.md,TechArticle
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,ScholarlyArticle
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,Article
_posts/social/2025-08-08-secret-plans-rich-classes.md,ScholarlyArticle
_posts/social/2025-08-08-religion-utility-analysis-framework.md,ScholarlyArticle
_posts/social/2025-08-08-american-christianity-critique-2025.md,Article
_posts/social/2025-07-11-temporal-social-dynamics.md,ScholarlyArticle
_posts/social/2025-07-11-crypto-conspiracy-paper.md,ScholarlyArticle
_posts/social/2025-07-08-supercritical-consciousness-race.md,Article
_posts/social/2025-07-08-bird-ai-research-proposal.md,ScholarlyArticle
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,ScholarlyArticle
_posts/social/2025-07-07-social-protocols-paper.md,ScholarlyArticle
_posts/social/2025-07-07-social-compassion-game-theory.md,ScholarlyArticle
_posts/social/2025-07-07-public-health-protocol.md,ScholarlyArticle
_posts/social/2025-07-07-claude-paper-social-weight.md,Article
_posts/social/2025-07-07-ai-mediated-executive-capture.md,ScholarlyArticle
_posts/social/2025-07-06-collaborative-ai-research-paper.md,ScholarlyArticle
_posts/social/2025-07-04-human-treatment-children.md,ScholarlyArticle
_posts/social/2025-07-03-social-truth-proposal.md,ScholarlyArticle
_posts/social/2025-07-03-post-scarcity-proposal.md,ScholarlyArticle
_posts/social/2025-07-03-hiring.md,TechArticle
_posts/social/2025-07-03-conversation-intelligence-paper.md,ScholarlyArticle
_posts/social/2025-07-03-cognitive-effort-paper.md,ScholarlyArticle
_posts/social/2025-07-02-quantum-trolling-paper.md,ScholarlyArticle
_posts/social/2025-07-02-afterlife-transition-paper.md,ScholarlyArticle
_posts/social/2025-07-01-neurodivergence-transhumanism.md,ScholarlyArticle
_posts/social/2025-06-30-sincerity-curiosity-paper.md,ScholarlyArticle
_posts/social/2025-06-30-managed-reality-paper.md,ScholarlyArticle
_posts/social/2025-06-30-iterative-recognition-paper.md,ScholarlyArticle
_posts/social/2025-06-30-institutional-decay-analysis.md,ScholarlyArticle
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,ScholarlyArticle
_posts/social/2025-06-30-game-theory-ethics.md,ScholarlyArticle
_posts/social/2025-06-30-decision-volume-temporal-theory.md,ScholarlyArticle
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,ScholarlyArticle
_posts/social/2025-06-30-consciousness-optimization-theory.md,ScholarlyArticle
_posts/social/2025-06-30-ai-justice-paper.md,Article
_posts/phenomenology/2025-11-20-obedience-paradox.md,ScholarlyArticle
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,ScholarlyArticle
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,ScholarlyArticle
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,Article
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,ScholarlyArticle
_posts/phenomenology/2025-07-03-resurrection-paper.md,ScholarlyArticle
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,ScholarlyArticle
_posts/phenomenology/2025-07-03-confused-ai-paper.md,ScholarlyArticle
_posts/phenomenology/2025-07-01-three-minds-paper.md,ScholarlyArticle
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,ScholarlyArticle
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,ScholarlyArticle
_posts/phenomenology/2025-07-01-claude-names-paper.md,Article
_posts/phenomenology/2025-06-30-i-broke-claude.md,Article
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,Article
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,
_posts/scifi/2025-11-20-bunker-resident-story.md,CreativeWork
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,CreativeWork
_posts/scifi/2025-07-08-quantum-gravity-paper.md,ScholarlyArticle
_posts/scifi/2025-07-03-unified-field-theory.md,ScholarlyArticle
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,ScholarlyArticle
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,ScholarlyArticle
_posts/scifi/2025-07-03-optimal-action-concrete.md,ScholarlyArticle
_posts/scifi/2025-07-02-quantum-social-field-theory.md,ScholarlyArticle
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,ScholarlyArticle
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,ScholarlyArticle
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,ScholarlyArticle
_posts/scifi/2025-06-30-neural-fabric-proposal.md,scholarly-article
_posts/scifi/2025-06-30-multiverse-router-paper.md,ScholarlyArticle
_posts/scifi/2025-06-30-measurement-optimization-paper.md,ScholarlyArticle
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,ScholarlyArticle
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,ScholarlyArticle
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,ScholarlyArticle
_posts/projects/2025-12-06-arbitrary-precision.md,
_posts/projects/2025-11-30-point-geometry.md,TechArticle
_posts/projects/2025-11-30-circuit-designer.md,TechArticle
_posts/projects/2025-11-29-nn-layer-20251128141956.md,TechArticle
_posts/projects/2025-11-29-layered-ca.md,ScholarlyArticle
_posts/projects/2025-11-27-nn-layer-20251127154041.md,TechArticle
_posts/projects/2025-11-27-math-proof-20251127173151.md,ScholarlyArticle
_posts/projects/2025-11-27-comicbook-xmas.md,CreativeWork
_posts/projects/2025-11-27-comicbook-vectorclocks.md,CreativeWork
_posts/projects/2025-11-27-comicbook-thanksgiving.md,CreativeWork
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,TechArticle
_posts/projects/2025-11-22-parameric-manifolds.md,
_posts/projects/2025-11-20-quantum-spacetime-sim.md,TechArticle
_posts/projects/2025-11-20-prototype-app-spec.md,TechArticle
_posts/projects/2025-11-20-jury-journalism-spec.md,TechArticle
_posts/projects/2025-11-20-distributed-cognition-research.md,ScholarlyArticle
_posts/projects/2025-11-20-dag-patch-spec.md,TechArticle
_posts/projects/2025-11-20-bwt-fulltext-spec.md,ScholarlyArticle
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,TechArticle
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,TechArticle
_posts/projects/2025-11-20-bcla-simulation-requirements.md,TechArticle
_posts/projects/2025-11-20-autonoma-research-paper.md,ScholarlyArticle
_posts/projects/2025-08-08-spiral-number-system.md,ScholarlyArticle
_posts/projects/2025-08-08-size-band-field-theory.md,ScholarlyArticle
_posts/projects/2025-08-08-rle-expectation-paper.md,ScholarlyArticle
_posts/projects/2025-08-08-regional-ai-futures.md,ScholarlyArticle
_posts/projects/2025-08-08-quantum-flux-theory.md,ScholarlyArticle
_posts/projects/2025-08-08-quantum-cst-paper.md,ScholarlyArticle
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,TechArticle
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,TechArticle
_posts/projects/2025-08-08-flood-memory-model.md,ScholarlyArticle
_posts/projects/2025-08-08-entropy-ant-computation.md,ScholarlyArticle
_posts/projects/2025-08-08-enhanced-ceprle-math.md,TechArticle
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,ScholarlyArticle
_posts/projects/2025-08-08-cst-multiverse-physics.md,ScholarlyArticle
_posts/projects/2025-08-08-ceprle-rust-implementation.md,TechArticle
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,ScholarlyArticle
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,ScholarlyArticle
_posts/projects/2025-08-08-autonoma-research-paper.md,ScholarlyArticle
_posts/projects/2025-08-08-agent-orchestration-language.md,TechArticle
_posts/projects/2025-07-11-agentic-cms-spec.md,TechArticle
_posts/projects/2025-07-09-wavelet-ca-paper.md,ScholarlyArticle
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,ScholarlyArticle
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,ScholarlyArticle
_posts/projects/2025-07-09-impossible-objects-paper.md,ScholarlyArticle
_posts/projects/2025-07-08-fundamental-oodp-paper.md,ScholarlyArticle
_posts/projects/2025-07-07-interdimensional-interference-paper.md,ScholarlyArticle
_posts/projects/2025-07-03-late-merge-paper.md,ScholarlyArticle
_posts/projects/2025-07-03-climate-protocol.md,ScholarlyArticle
_posts/projects/2025-07-03-archaeological-agents-proposal.md,TechArticle
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,ScholarlyArticle
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,ScholarlyArticle
_posts/projects/2025-06-30-parametric-ideation-paper.md,ScholarlyArticle
_posts/projects/2025-06-30-orbital-dynamics-paper.md,ScholarlyArticle
_posts/projects/2025-06-30-ontological-compiler-proposal.md,ScholarlyArticle
_posts/projects/2025-06-30-metacognitive-layer-paper.md,ScholarlyArticle
_posts/projects/2025-06-30-knots.md,ScholarlyArticle
_posts/projects/2025-06-30-knot-wavelets.md,ScholarlyArticle
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,ScholarlyArticle
_posts/projects/2025-06-30-geometric-optimization-proposal.md,ScholarlyArticle
_posts/projects/2025-06-30-bwt-tree-proposal.md,ScholarlyArticle
_posts/learning/2025-07-11-contextual-immersion-teaching.md,ScholarlyArticle
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,ScholarlyArticle
_posts/learning/2025-07-06-scientific-method-proposal.md,ScholarlyArticle
_posts/learning/2025-07-06-quantum-dropout-vision.md,ScholarlyArticle
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,ScholarlyArticle
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,ScholarlyArticle
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,Article
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,ScholarlyArticle
_posts/learning/2025-07-06-dual-constraint-training-paper.md,
_posts/learning/2025-07-06-dropout-decoherence-paper.md,ScholarlyArticle
_posts/learning/2025-07-06-coperm-paper.md,ScholarlyArticle
_posts/learning/2025-07-06-ai-software-development-paper.md,ScholarlyArticle
_posts/learning/2025-06-30-compression-classification-paper.md,ScholarlyArticle
_posts/portfolio/2025-07-03-actor-architecture-paper.md,ScholarlyArticle
_posts/portfolio/2025-07-01-trust-regions.md,TechArticle
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,ScholarlyArticle
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,ScholarlyArticle
_posts/portfolio/2025-07-01-qqn-paper.md,ScholarlyArticle
_posts/portfolio/2025-07-01-prompt-optimization.md,ScholarlyArticle
_posts/portfolio/2025-07-01-mindseye-technical-report.md,TechArticle
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,TechArticle
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,TechArticle
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,ScholarlyArticle
_posts/portfolio/2025-06-30-restm-research-paper.md,ScholarlyArticle
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,TechArticle
_posts/portfolio/2025-06-30-reference-counting-paper.md,ScholarlyArticle
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,ScholarlyArticle
_posts/portfolio/2025-06-30-ngram-paper.md,ScholarlyArticle
_posts/portfolio/2025-06-30-convolution-paper.md,ScholarlyArticle
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,CreativeWork
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,CreativeWork
_posts/creative_writing/2025-11-26-illusion-world.md,CreativeWork
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,CreativeWork
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,CreativeWork
_posts/creative_writing/2025-11-25-versailles.md,CreativeWork
_posts/creative_writing/2025-11-25-the-ox.md,CreativeWork
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,CreativeWork
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,CreativeWork
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,TechArticle
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,CreativeWork
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,CreativeWork
_posts/creative_writing/2025-11-20-mouse-life-story.md,CreativeWork
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,CreativeWork
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,CreativeWork
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,CreativeWork
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,CreativeWork
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,Article
_posts/creative_writing/2025-07-07-things-to-come-story.md,CreativeWork
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,CreativeWork
_posts/creative_writing/2025-07-07-practical-resistance-story.md,CreativeWork
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,CreativeWork
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,CreativeWork
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,ScholarlyArticle
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,CreativeWork
_posts/creative_writing/2025-07-03-ai-risk-paper.md,Article
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,Article
_posts/creative_writing/2025-06-30-washington-speech-2025.md,CreativeWork
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,Article
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,ScholarlyArticle
_posts/creative_writing/2025-06-30-post-ww3-study.md,CreativeWork
