filepath,is_cornerstone
_posts/social/2025-12-01-psychosocial-assistant.md,false
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,false
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,true
_posts/social/2025-08-08-secret-plans-rich-classes.md,true
_posts/social/2025-08-08-religion-utility-analysis-framework.md,true
_posts/social/2025-08-08-american-christianity-critique-2025.md,false
_posts/social/2025-07-11-temporal-social-dynamics.md,true
_posts/social/2025-07-11-crypto-conspiracy-paper.md,false
_posts/social/2025-07-08-supercritical-consciousness-race.md,true
_posts/social/2025-07-08-bird-ai-research-proposal.md,true
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,true
_posts/social/2025-07-07-social-protocols-paper.md,
_posts/social/2025-07-07-social-compassion-game-theory.md,true
_posts/social/2025-07-07-public-health-protocol.md,false
_posts/social/2025-07-07-claude-paper-social-weight.md,false
_posts/social/2025-07-07-ai-mediated-executive-capture.md,true
_posts/social/2025-07-06-collaborative-ai-research-paper.md,true
_posts/social/2025-07-04-human-treatment-children.md,false
_posts/social/2025-07-03-social-truth-proposal.md,true
_posts/social/2025-07-03-post-scarcity-proposal.md,true
_posts/social/2025-07-03-hiring.md,false
_posts/social/2025-07-03-conversation-intelligence-paper.md,true
_posts/social/2025-07-03-cognitive-effort-paper.md,true
_posts/social/2025-07-02-quantum-trolling-paper.md,true
_posts/social/2025-07-02-afterlife-transition-paper.md,false
_posts/social/2025-07-01-neurodivergence-transhumanism.md,true
_posts/social/2025-06-30-sincerity-curiosity-paper.md,false
_posts/social/2025-06-30-managed-reality-paper.md,true
_posts/social/2025-06-30-iterative-recognition-paper.md,true
_posts/social/2025-06-30-institutional-decay-analysis.md,true
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,false
_posts/social/2025-06-30-game-theory-ethics.md,true
_posts/social/2025-06-30-decision-volume-temporal-theory.md,true
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,
_posts/social/2025-06-30-consciousness-optimization-theory.md,true
_posts/social/2025-06-30-ai-justice-paper.md,true
_posts/phenomenology/2025-11-20-obedience-paradox.md,false
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,true
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,true
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,false
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,false
_posts/phenomenology/2025-07-03-resurrection-paper.md,true
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,true
_posts/phenomenology/2025-07-03-confused-ai-paper.md,false
_posts/phenomenology/2025-07-01-three-minds-paper.md,true
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,true
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,true
_posts/phenomenology/2025-07-01-claude-names-paper.md,false
_posts/phenomenology/2025-06-30-i-broke-claude.md,
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,true
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,
_posts/scifi/2025-11-20-bunker-resident-story.md,false
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,false
_posts/scifi/2025-07-08-quantum-gravity-paper.md,
_posts/scifi/2025-07-03-unified-field-theory.md,true
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,true
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,true
_posts/scifi/2025-07-03-optimal-action-concrete.md,true
_posts/scifi/2025-07-02-quantum-social-field-theory.md,false
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,true
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,true
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,false
_posts/scifi/2025-06-30-neural-fabric-proposal.md,false
_posts/scifi/2025-06-30-multiverse-router-paper.md,false
_posts/scifi/2025-06-30-measurement-optimization-paper.md,true
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,true
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,false
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,true
_posts/projects/2025-12-06-arbitrary-precision.md,
_posts/projects/2025-11-30-point-geometry.md,true
_posts/projects/2025-11-30-circuit-designer.md,false
_posts/projects/2025-11-29-nn-layer-20251128141956.md,true
_posts/projects/2025-11-29-layered-ca.md,true
_posts/projects/2025-11-27-nn-layer-20251127154041.md,true
_posts/projects/2025-11-27-math-proof-20251127173151.md,true
_posts/projects/2025-11-27-comicbook-xmas.md,false
_posts/projects/2025-11-27-comicbook-vectorclocks.md,false
_posts/projects/2025-11-27-comicbook-thanksgiving.md,false
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,true
_posts/projects/2025-11-22-parameric-manifolds.md,
_posts/projects/2025-11-20-quantum-spacetime-sim.md,true
_posts/projects/2025-11-20-prototype-app-spec.md,false
_posts/projects/2025-11-20-jury-journalism-spec.md,false
_posts/projects/2025-11-20-distributed-cognition-research.md,true
_posts/projects/2025-11-20-dag-patch-spec.md,true
_posts/projects/2025-11-20-bwt-fulltext-spec.md,true
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,true
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,false
_posts/projects/2025-11-20-bcla-simulation-requirements.md,true
_posts/projects/2025-11-20-autonoma-research-paper.md,true
_posts/projects/2025-08-08-spiral-number-system.md,true
_posts/projects/2025-08-08-size-band-field-theory.md,true
_posts/projects/2025-08-08-rle-expectation-paper.md,true
_posts/projects/2025-08-08-regional-ai-futures.md,true
_posts/projects/2025-08-08-quantum-flux-theory.md,true
_posts/projects/2025-08-08-quantum-cst-paper.md,true
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,false
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,false
_posts/projects/2025-08-08-flood-memory-model.md,false
_posts/projects/2025-08-08-entropy-ant-computation.md,false
_posts/projects/2025-08-08-enhanced-ceprle-math.md,true
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,true
_posts/projects/2025-08-08-cst-multiverse-physics.md,true
_posts/projects/2025-08-08-ceprle-rust-implementation.md,true
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,false
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,true
_posts/projects/2025-08-08-autonoma-research-paper.md,true
_posts/projects/2025-08-08-agent-orchestration-language.md,true
_posts/projects/2025-07-11-agentic-cms-spec.md,true
_posts/projects/2025-07-09-wavelet-ca-paper.md,true
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,true
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,true
_posts/projects/2025-07-09-impossible-objects-paper.md,true
_posts/projects/2025-07-08-fundamental-oodp-paper.md,true
_posts/projects/2025-07-07-interdimensional-interference-paper.md,true
_posts/projects/2025-07-03-late-merge-paper.md,true
_posts/projects/2025-07-03-climate-protocol.md,true
