filepath,related_documents
_posts/social/2025-12-01-psychosocial-assistant.md,"[""path/to/cognitive-architecture-framework.md"",""path/to/human-ai-collaboration-models.md"",""path/to/biometric-sensing-ethics.md""]"
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,[]
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,[]
_posts/social/2025-08-08-secret-plans-rich-classes.md,[]
_posts/social/2025-08-08-religion-utility-analysis-framework.md,[]
_posts/social/2025-08-08-american-christianity-critique-2025.md,[]
_posts/social/2025-07-11-temporal-social-dynamics.md,"[""../scifi/2025-07-03-unified-field-theory.md"",""./2025-07-03-hiring.md"",""../projects/2025-06-30-knots.md""]"
_posts/social/2025-07-11-crypto-conspiracy-paper.md,
_posts/social/2025-07-08-supercritical-consciousness-race.md,
_posts/social/2025-07-08-bird-ai-research-proposal.md,
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,
_posts/social/2025-07-07-social-protocols-paper.md,
_posts/social/2025-07-07-social-compassion-game-theory.md,"[""../projects/2025-07-03-late-merge-paper.md"",""../projects/2025-07-03-climate-protocol.md"",""./2025-07-07-public-health-protocol.md""]"
_posts/social/2025-07-07-public-health-protocol.md,"[""../projects/2025-07-03-late-merge-paper.md"",""../projects/2025-07-03-climate-protocol.md"",""./2025-07-07-social-compassion-game-theory.md"",""./2025-07-07-social-compassion-game-theory.md""]"
_posts/social/2025-07-07-claude-paper-social-weight.md,[]
_posts/social/2025-07-07-ai-mediated-executive-capture.md,"[""/research/human-ai-feedback-loops"",""/research/corporate-ai-governance""]"
_posts/social/2025-07-06-collaborative-ai-research-paper.md,[]
_posts/social/2025-07-04-human-treatment-children.md,
_posts/social/2025-07-03-social-truth-proposal.md,"[""./2025-06-30-game-theory-ethics.md"",""./2025-07-03-conversation-intelligence-paper.md"",""./2025-07-03-cognitive-effort-paper.md"",""./2025-06-30-managed-reality-paper.md""]"
_posts/social/2025-07-03-post-scarcity-proposal.md,"[""../scifi/2025-06-29-superfluid-fusion-proposal.md"",""./2025-06-30-managed-reality-paper.md""]"
_posts/social/2025-07-03-hiring.md,"[""../portfolio/2025-07-01-mindseye-technical-report.md"",""../consciousness/2025-07-06-ai-bias-paper.md"",""../consciousness/2025-07-06-marco-polo-protocol.md""]"
_posts/social/2025-07-03-conversation-intelligence-paper.md,"[""./2025-07-03-cognitive-effort-paper.md"",""./2025-07-03-social-truth-proposal.md"",""./2025-06-30-game-theory-ethics.md"",""../consciousness/2025-07-06-ai-bias-paper.md"",""./2025-07-03-hiring.md""]"
_posts/social/2025-07-03-cognitive-effort-paper.md,"[""./2025-06-30-game-theory-ethics.md"",""./2025-07-03-conversation-intelligence-paper.md"",""./2025-07-03-social-truth-proposal.md"",""./2025-06-30-managed-reality-paper.md"",""./2025-06-30-institutional-decay-analysis.md""]"
_posts/social/2025-07-02-quantum-trolling-paper.md,[]
_posts/social/2025-07-02-afterlife-transition-paper.md,"[""consciousness-studies"",""ai-ethics"",""climate-psychology"",""institutional-analysis""]"
_posts/social/2025-07-01-neurodivergence-transhumanism.md,
_posts/social/2025-06-30-sincerity-curiosity-paper.md,"[""./2025-07-03-conversation-intelligence-paper.md"",""../consciousness/2025-07-06-ai-bias-paper.md""]"
