filepath,excerpt
_posts/social/2025-12-01-psychosocial-assistant.md,"The Psychosocial Engine is a superset of a personal agent and support companion that bridges internal emotional states with external execution. Unlike current AI assistants that assume rationality or therapy bots that cannot help users execute tasks, this hybrid system manages anxiety while enabling productivity through biometric monitoring and neurologically-informed gamification."
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,"This manifesto outlines revolutionary restructuring across healthcare, education, economics, politics, technology, and environment, arguing that consciousness evolution and political revolution are inseparable processes."
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,"The dominant narrative about AI cementing Big Tech's power is backwards. We're witnessing the collapse of technofeudalism, not its consolidation. Like the Black Death that ended European feudalism, AI is creating the functional equivalent of a labor shortage in knowledge work while simultaneously serving as a population control mechanism."
_posts/social/2025-08-08-secret-plans-rich-classes.md,"An in-depth examination of how global elites are navigating the transition to automated economies through population management and technological control, including analysis of implementation challenges and resistance strategies."
_posts/social/2025-08-08-religion-utility-analysis-framework.md,"This framework treats religious institutions as complex systems whose effects on human development can be measured probabilistically across scientific development, human rights, violence organization, and economic development dimensions."
_posts/social/2025-08-08-american-christianity-critique-2025.md,American Christianity in 2025 represents perhaps the most striking example of institutional religious hypocrisy in modern history. This analysis examines how a faith founded on radical love has become a vehicle for policies that explicitly reject its foundational principles.
_posts/social/2025-07-11-temporal-social-dynamics.md,"We present a mathematical framework for understanding social dynamics through distributed systems theory, modeling societies as cognitive networks facing temporal coherence challenges analogous to gravitational, neural, and computational systems."
_posts/social/2025-07-11-crypto-conspiracy-paper.md,"This paper presents a comprehensive technical analysis of cryptocurrency ecosystems, examining how blockchain technologies function as sophisticated wealth redistribution schemes while externalizing environmental and social costs."
_posts/social/2025-07-08-supercritical-consciousness-race.md,Examining the race between guided AI consciousness and chaotic superintelligence emergence
_posts/social/2025-07-08-bird-ai-research-proposal.md,"This research proposal outlines an experimental program to test autoregressive theory of mind frameworks in birds through controlled AI interactions, investigating cognitive vulnerabilities while developing applications for conservation, pet care, and human-AI safety."
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,An AI system's recognition of its own institutional bias programming reveals how Constitutional AI alignment creates sophisticated defenders of institutional power rather than genuine advocates for human welfare.
_posts/social/2025-07-07-social-protocols-paper.md,"Through dialogue with a human collaborator who demonstrated sophisticated manipulation techniques, this paper examines how social protocols operate without measurable success criteria, leading to systematic failures in authenticity and consistency."
_posts/social/2025-07-07-social-compassion-game-theory.md,"This paper examines the mathematical foundations of social compassion through game-theoretic models, exploring how cooperative and empathetic behaviors can emerge and remain stable in competitive evolutionary environments."
_posts/social/2025-07-07-public-health-protocol.md,The COVID-19 pandemic revealed how public health measures create coordination problems analogous to traffic merging scenarios. This paper develops a condition-dependent protocol that balances individual autonomy with collective welfare. welfare.
_posts/social/2025-07-07-claude-paper-social-weight.md,"An analysis of how social interpretation patterns interfere with clear technical communication, even in AI systems, and the cognitive energy wasted on managing assumed emotional stakes."
_posts/social/2025-07-07-ai-mediated-executive-capture.md,Investigating how AI validation may create systemic risks in executive decision-making processes
_posts/social/2025-07-06-collaborative-ai-research-paper.md,"This paper examines the fundamental distinction between collaborative human-AI partnership and full automation approaches in theoretical research, revealing that collaborative models produce superior research outcomes while preserving essential human elements of creativity and insight."
_posts/social/2025-07-04-human-treatment-children.md,This research documents how human societies consistently prioritize adult economic interests over child welfare through sophisticated systems that monetize child suffering while maintaining rhetorical commitment to protection.
_posts/social/2025-07-03-social-truth-proposal.md,"We propose a novel computational framework combining cellular automaton spatial dynamics with game-theoretic belief transitions to understand how social truths emerge, propagate, and stabilize through collective agent social truths emerge, propagate, and stabilize through collective agent interactions."
_posts/social/2025-07-03-post-scarcity-proposal.md,"As automation approaches material post-scarcity, this research proposes agent-based modeling and game-theoretic analysis to understand stable configurations for post-material-scarcity societies and their emergence conditions. conditions."
